V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47
NO2,NB,2,1804, PG,VI,1,999,GA,9,999,1,1,350,1,11,4,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,1,99,0,0,0,201,1,1
NO2,NB,3,1804, PG,BI,1,999,CO,1,999,1,1,1000,1,24,4,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,2,9999,2,99,1,99,0,0,0,503,1,2
NO2,NB,3,1804, P,LA,1,999,DC,9,999,1,1,450,2,25,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,2,210,10,99,2,42,0,0,0,503,1,3
NO2,NB,4,1804, PG,LA,9,999,CH,9,999,2,1,800,1,99,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,99,0,0,0,503,2,4
NO2,NB,4,1804, PG,LA,9,999,CH,9,999,2,1,99999,1,99,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,99,0,0,0,503,2,5
NO2,NB,10,1804, PG,PE,1,999,LE,9,999,1,1,400,2,20,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,1,99,0,0,0,503,1,6
NO2,PP,1,1804, PG,GA,1,999,MO,9,999,1,1,750,1,22,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,2,9999,99,99,1,99,2,0,0,267,1,7
NO2,PP,1,1804, PG,PO,1,999,BO,1,999,1,1,500,2,21,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,30,0,0,0,267,1,8
NO2,PP,2,1804, PG,ME,1,999,SE,2,ORL,2,1,900,1,18,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,99,0,7,8,117,2,9
NO2,PP,2,1804, PG,ME,1,999,SE,2,ORL,2,1,99999,2,18,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,99,0,7,8,117,2,10
NO2,PP,2,1804, PG,CR,1,999,LA,2,SLO,1,1,200,2,2.5,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,99,0,0,0,999,1,11
NO2,PP,3,1804, PG,ME,1,999,MA,9,999,1,1,450,2,14,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,99,0,7,8,117,1,12
NO2,PP,3,1804, PG,AR,1,999,CH,1,999,1,1,360,2,11,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,42,0,0,0,503,1,13
NO2,PP,3,1804, PG,CH,2,SLO,GI,2,SLO,1,1,350,1,18,4,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,99,0,7,8,117,1,14
NO2,PP,3,1804, PG,WA,1,999,VI,1,999,1,1,400,1,30,4,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,1,99,0,0,0,999,1,15
NO2,PP,5,1804, PG,SA,1,999,CD,1,999,2,1,750,1,13,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,42,0,7,8,117,2,16
NO2,PP,5,1804, PG,SA,1,999,CD,1,999,2,1,99999,2,13,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,42,0,7,8,117,2,17
NO2,PP,5,1804, PG,TE,1,999,SE,1,999,1,1,600,2,13,14,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,1,99,0,0,0,932,1,18
NO2,PP,5,1804, PG,DE,1,999,BE,1,999,1,1,300,2,20,9,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,2,42,0,2,8,139,1,19
NO2,PP,5,1804, PG,LA,1,999,SI,1,999,1,1,310,2,13,1,0,9,99,9,99,9,99,9,99,9,99,9,99,9,99,9,99,0,1,9999,99,99,1,99,0,0,0,201,1,20
