year,labor_value
1805,275
1806,198
1807,247
1808,251
1809,164
1810,194
1811,187
1812,185
1813,196
1814,176
1815,185
1816,153
1817,183
1818,237
1819,227
1820,254
1821,230
1822,251
1823,213
1824,218
1825,247
1826,247
1827,251
1828,254
1829,251
1830,254
1831,262
1832,254
1833,247
1834,225
1835,225
1836,217
1837,185
1838,219
1839,209
1840,244
1841,231
1842,225
1843,217
1844,219
1845,225
1846,228
1847,244
1848,204
1849,209
1850,206
1851,209
1852,197
1853,199
1854,189
1855,183
1856,181
1857,172
1858,183
1859,167
1860,170
