year,rgdp,pop,rgdppc,e0f,e0m,e0b,logrgdppc,dlogrgdppc,de0f,de0m,de0b,ones
1934,862.2,125995593.5,6843.09646,62.34,58.34,60.23,8.830995607,0.099946832,-0.44,-0.83,-0.65,1
1935,939,126834140.3,7403.369457,63.04,58.96,60.89,8.909690508,0.078694901,0.7,0.62,0.66,1
1936,1060.5,127682294.1,8305.771819,62.6,58.35,60.35,9.024705952,0.115015444,-0.44,-0.61,-0.54,1
1937,1114.6,128466604,8676.184823,63.37,59,61.05,9.068337175,0.043631223,0.77,0.65,0.7,1
1938,1077.7,129355271.9,8331.318734,64.54,60.45,62.39,9.027777034,-0.040560141,1.17,1.45,1.34,1
1939,1163.6,130391350.5,8923.904808,65.25,61.12,63.07,9.096488889,0.068711855,0.71,0.67,0.68,1
1940,1266.1,131458173.8,9631.200277,65.57,61.14,63.23,9.172763136,0.076274248,0.32,0.02,0.16,1
1941,1490.3,132579816.3,11240.77587,66.27,61.59,63.8,9.327303148,0.154540012,0.7,0.45,0.57,1
1942,1771.8,133566627.7,13265.28962,67.17,62.26,64.59,9.4929061,0.165602951,0.9,0.67,0.79,1
1943,2073.7,134133097,15460.0173,66.9,61.9,64.3,9.646012441,0.153106342,-0.27,-0.36,-0.29,1
1944,2239.4,133606617.1,16761.14588,67.76,62.54,65.09,9.726818741,0.0808063,0.86,0.64,0.79,1
1945,2217.8,132723774.8,16709.89243,68.34,62.96,65.58,9.723756184,-0.003062557,0.58,0.42,0.49,1
1946,1960.9,136315314.3,14385.03084,69.02,63.76,66.28,9.57394342,-0.149812764,0.68,0.8,0.7,1
1947,1939.4,141790579.6,13677.91856,69.45,64.19,66.69,9.523538027,-0.050405393,0.43,0.43,0.41,1
1948,2020,144794537.1,13950.80257,70.1,64.69,67.25,9.543292317,0.01975429,0.65,0.5,0.56,1
1949,2008.9,147387775.2,13630.03137,70.52,65.02,67.63,9.520030826,-0.023261491,0.42,0.33,0.38,1
1950,2184,149953403.3,14564.52439,71.02,65.4,68.07,9.586344015,0.066313188,0.5,0.38,0.44,1
1951,2360,152284064.6,15497.35362,71.22,65.41,68.17,9.648424554,0.06208054,0.2,0.01,0.1,1
1952,2456.1,154516176.6,15895.42308,71.5,65.55,68.39,9.67378649,0.025361936,0.28,0.14,0.22,1
1953,2571.4,156997327.9,16378.6227,71.92,65.8,68.72,9.70373227,0.029945779,0.42,0.25,0.33,1
1954,2556.9,159734335.9,16007.20337,72.7,66.57,69.5,9.680794111,-0.022938159,0.78,0.77,0.78,1
1955,2739,162775488.6,16826.8578,72.8,66.58,69.56,9.730731567,0.049937457,0.1,0.01,0.06,1
1956,2797.4,165851267.2,16866.91966,72.95,66.61,69.64,9.733109566,0.002377999,0.15,0.03,0.08,1
1957,2856.3,168889567.4,16912.23469,72.74,66.36,69.41,9.735792585,0.002683019,-0.21,-0.25,-0.23,1
1958,2835.3,171899204,16493.96817,73,66.6,69.67,9.710750028,-0.025042557,0.26,0.24,0.26,1
1959,3031,175274638.1,17292.86127,73.31,66.75,69.89,9.758049052,0.047299024,0.31,0.15,0.22,1
