year,P90-100,P95-100,P99-100
1913,,,17.96
1914,,,18.16
1915,,,17.58
1916,,,18.89
1917,40.43,30.57,17.72
1918,40.08,29.48,15.99
1919,39.92,29.79,16.15
1920,38.69,28.02,14.68
1921,43.08,30.72,15.62
1922,43.21,31.45,16.65
1923,40.98,29.32,15.28
1924,43.66,31.39,16.80
1925,44.55,33.24,18.62
1926,44.35,33.28,18.70
1927,44.96,34.02,19.49
1928,46.27,35.58,21.09
1929,43.97,33.78,19.76
1930,43.24,31.46,16.72
1931,44.40,31.10,15.39
1932,46.36,32.66,15.56
1933,45.17,32.76,16.09
1934,45.17,33.11,16.00
1935,43.54,31.34,15.97
1936,45.15,33.22,18.16
1937,43.54,31.59,16.67
1938,43.13,30.41,15.02
1939,44.75,31.53,15.64
1940,44.56,31.50,15.95
1941,41.17,29.25,15.23
1942,35.60,25.28,13.06
1943,32.98,23.38,11.78
1944,31.85,22.12,10.81
1945,33.24,23.63,11.61
1946,35.28,25.38,12.23
1947,33.38,23.73,11.25
1948,34.08,24.14,11.57
1949,34.00,23.77,11.19
1950,34.41,24.41,11.91
1951,33.18,23.17,10.98
1952,32.35,22.22,10.13
1953,31.60,21.31,9.37
1954,32.53,22.20,9.92
1955,32.52,22.21,9.92
1956,32.24,21.92,9.68
1957,32.03,21.65,9.42
1958,32.46,21.84,9.35
1959,32.56,21.95,9.49
1960,32.19,21.30,9.01
1961,32.56,21.84,9.24
1962,32.44,21.56,8.92
1963,32.48,21.56,8.86
1964,32.73,21.84,9.10
1965,32.85,22.00,9.30
1966,32.82,22.08,9.42
1967,33.39,22.66,9.83
1968,33.59,22.86,10.07
1969,32.92,22.08,9.40
1970,31.91,20.97,8.44
1971,32.42,21.39,8.65
1972,32.45,21.40,8.70
1973,32.27,21.22,8.34
1974,32.55,21.40,8.53
1975,32.75,21.33,8.37
1976,32.63,21.24,8.33
1977,32.69,21.27,8.36
1978,32.63,21.23,8.36
1979,33.01,21.77,9.00
1980,33.54,22.10,9.15
1981,33.32,21.82,8.93
1982,34.27,22.75,9.76
1983,34.98,23.46,10.28
1984,35.33,23.84,10.63
1985,35.97,24.46,11.09
1986,37.86,26.63,13.14
1987,37.30,25.57,11.75
1988,39.78,28.41,14.65
1989,39.34,27.80,13.81
1990,39.38,27.81,13.81
1991,38.78,26.98,12.72
1992,40.31,28.56,14.22
1993,40.05,28.22,13.68
1994,40.13,28.23,13.65
1995,41.50,29.58,14.62
1996,42.69,30.94,15.84
1997,43.77,32.21,16.99
1998,44.35,32.92,17.69
1999,45.01,33.68,18.37
2000,45.29,34.26,19.30
2001,43.15,31.65,16.76
2002,42.95,31.18,15.91
2003,43.52,31.69,16.39
2004,44.87,33.32,18.12
2005,46.58,35.24,20.04
2006,47.56,36.16,20.86
2007,48.03,36.79,21.51
2008,46.97,35.20,19.57
2009,45.85,33.44,17.48
2010,47.08,34.84,18.83
2011,47.41,35.12,18.85
2012,49.18,37.32,21.22
2013,47.78,35.50,18.98
2014,48.54,36.45,19.90
